Disaster Number	Determination	Year	Cause	Frequency
90	Approved	2019	Environmental	1
89	Approved	2019	Environmental	1
87	Approved	2019	Environmental	1
86	Approved	2019	Combination of both	1
85	Approved	2019	Combination of both	1
84	Approved	2018	Environmental	1
83	Approved	2018	Environmental	1
82	Approved	2019	Environmental	1
81	Approved	2019	Combination of both	1
80	Approved	2018	Environmental	1
79	Approved	2018	Environmental	1
78	Approved	2018	Environmental	1
77	Approved	2018	Environmental	1
75	Approved	2018	Environmental	1
74	Approved	2018	Environmental	1
73	Approved	2018	Environmental	1
72	Approved	2017	Environmental	1
71	Approved	2017	Environmental	1
70	Approved	2017	Environmental	1
69	Approved	2017	Environmental	1
68	Approved	2017	Environmental	1
67	Approved	2017	Environmental	1
66	Approved	2017	Environmental	1
65	Partially Approved	2017	Environmental	1
64	Approved	2015	Anthropogenic	1
63	Approved	2014	Environmental	1
61	Approved	2012	Environmental	1
59	Approved	2013	Environmental	1
58	Approved	2012	Environmental	1
56	Approved	2012	Anthropogenic	1
55	Approved	2012	Environmental	1
53	Approved	2011	Combination of both	1
51	Partially Approved	2012	Environmental	1
50	Approved	2010	Combination of both	1
49	Approved	2010	Anthropogenic	1
47	Approved	2011	Combination of both	1
46	Approved	2010	Environmental	1
45	Approved	2010	Combination of both	1
43	Approved	2009	Combination of both	1
40	Approved	2008	Environmental	1
39	Approved	2008	Environmental	1
38	Approved	2008	Combination of both	1
37	Approved	2008	Anthropogenic	1
36	Approved	2008	Combination of both	1
33	Approved	2011	Anthropogenic	1
31	Approved	2007	Anthropogenic	1
30	Approved	2006	Environmental	1
29	Approved	2005	Environmental	1
27	Approved	2005	Environmental	1
26	Approved	2005	Environmental	1
25	Approved	2005	Anthropogenic	1
23	Approved	2003	Combination of both	1
22	Approved	2003	Anthropogenic	1
21	Approved	2001	Anthropogenic	1
19	Approved	2002	Combination of both	1
18	Approved	2000	Combination of both	1
17	Approved	2000	Anthropogenic	1
15	Approved	1999	Environmental	1
14	Approved	2000	Environmental	1
13	Approved	2000	Anthropogenic	1
12	Approved	1999	Environmental	1
11	Approved	1998	Environmental	1
10	Approved	1998	Combination of both	1
9	Approved	1998	Combination of both	1
7	Approved	1997	Environmental	1
6	Approved	1995	Combination of both	1
5	Approved	1995	Anthropogenic	1
4	Approved	1995	Combination of both	1
3	Approved	1994	Combination of both	1
2	Approved	1994	Anthropogenic	1
1	Approved	1995	Environmental	1
