Disaster Number	Year	Determination	Cause	StateYears
90	2019	Approved	Environmental	1
90	2018	Approved	Environmental	1
90	2017	Approved	Environmental	1
89	2019	Approved	Environmental	1
89	2019	Approved	Environmental	1
89	2019	Approved	Environmental	1
87	2016	Approved	Environmental	1
87	2017	Approved	Environmental	1
86	2018	Approved	Combination of both	1
85	2018	Approved	Combination of both	1
84	2018	Approved	Environmental	1
83	2018	Approved	Environmental	1
82	2018	Approved	Environmental	1
82	2018	Approved	Environmental	1
81	2018	Approved	Combination of both	1
80	2016	Approved	Environmental	1
79	2017	Approved	Environmental	1
78	2016	Approved	Environmental	1
77	2017	Approved	Environmental	1
77	2017	Approved	Environmental	1
77	2017	Approved	Environmental	1
75	2015	Approved	Environmental	1
75	2016	Approved	Environmental	1
74	2016	Approved	Environmental	1
74	2017	Approved	Environmental	1
74	2016	Approved	Environmental	1
74	2017	Approved	Environmental	1
73	2015	Approved	Environmental	1
72	2016	Approved	Environmental	1
71	2016	Approved	Environmental	1
70	2016	Approved	Environmental	1
69	2015	Approved	Environmental	1
68	2015	Approved	Environmental	1
67	2015	Approved	Environmental	1
67	2016	Approved	Environmental	1
66	2015	Approved	Environmental	1
65	2014	Approved (partially)	Environmental	1
64	2013	Approved	Anthropogenic	1
63	2013	Approved	Environmental	1
61	2012	Approved	Environmental	1
61	2012	Approved	Environmental	1
59	2012	Approved	Environmental	1
58	2011	Approved	Environmental	1
58	2012	Approved	Environmental	1
56	2011	Approved	Anthropogenic	1
56	2011	Approved	Anthropogenic	1
56	2011	Approved	Anthropogenic	1
56	2011	Approved	Anthropogenic	1
56	2011	Approved	Anthropogenic	1
56	2011	Approved	Anthropogenic	1
56	2012	Approved	Anthropogenic	1
56	2012	Approved	Anthropogenic	1
56	2012	Approved	Anthropogenic	1
56	2012	Approved	Anthropogenic	1
56	2012	Approved	Anthropogenic	1
56	2012	Approved	Anthropogenic	1
56	2013	Approved	Anthropogenic	1
56	2013	Approved	Anthropogenic	1
56	2013	Approved	Anthropogenic	1
56	2013	Approved	Anthropogenic	1
56	2013	Approved	Anthropogenic	1
56	2013	Approved	Anthropogenic	1
55	2011	Approved	Environmental	1
53	2010	Approved	Combination of both	1
51	2009	Approved (partially)	Environmental	1
50	2010	Approved	Combination of both	1
49	2010	Approved	Anthropogenic	1
49	2010	Approved	Anthropogenic	1
49	2010	Approved	Anthropogenic	1
49	2010	Approved	Anthropogenic	1
47	2009	Approved	Combination of both	1
47	2008	Approved	Combination of both	1
47	2007	Approved	Combination of both	1
47	2006	Approved	Combination of both	1
47	2005	Approved	Combination of both	1
47	2004	Approved	Combination of both	1
47	2003	Approved	Combination of both	1
47	2002	Approved	Combination of both	1
46	2009	Approved	Environmental	1
45	2009	Approved	Combination of both	1
43	2009	Approved	Combination of both	1
43	2009	Approved	Combination of both	1
40	2008	Approved	Environmental	1
40	2008	Approved	Environmental	1
40	2008	Approved	Environmental	1
39	2008	Approved	Environmental	1
38	2007	Approved	Combination of both	1
37	2008	Approved	Anthropogenic	1
37	2008	Approved	Anthropogenic	1
36	2008	Approved	Combination of both	1
36	2008	Approved	Combination of both	1
36	2008	Approved	Combination of both	1
33	2007	Approved	Anthropogenic	1
33	2008	Approved	Anthropogenic	1
31	2006	Approved	Anthropogenic	1
31	2005	Approved	Anthropogenic	1
31	2004	Approved	Anthropogenic	1
30	2005	Approved	Environmental	1
30	2006	Approved	Environmental	1
29	2005	Approved	Environmental	1
29	2005	Approved	Environmental	1
29	2005	Approved	Environmental	1
29	2005	Approved	Environmental	1
27	2005	Approved	Environmental	1
26	2005	Approved	Environmental	1
25	2003	Approved	Anthropogenic	1
23	2003	Approved	Combination of both	1
22	2002	Approved	Anthropogenic	1
21	2001	Approved	Anthropogenic	1
19	1999	Approved	Combination of both	1
19	2000	Approved	Combination of both	1
19	2001	Approved	Combination of both	1
18	1997	Approved	Combination of both	1
18	1998	Approved	Combination of both	1
18	1999	Approved	Combination of both	1
18	2000	Approved	Combination of both	1
17	2000	Approved	Anthropogenic	1
15	1999	Approved	Environmental	1
14	1999	Approved	Environmental	1
14	1999	Approved	Environmental	1
13	1999	Approved	Anthropogenic	1
13	1999	Approved	Anthropogenic	1
13	1999	Approved	Anthropogenic	1
12	1998	Approved	Environmental	1
11	1998	Approved	Environmental	1
10	1998	Approved	Combination of both	1
10	1998	Approved	Combination of both	1
10	1998	Approved	Combination of both	1
9	1997	Approved	Combination of both	1
9	1997	Approved	Combination of both	1
7	1997	Approved	Environmental	1
6	1995	Approved	Combination of both	1
6	1995	Approved	Combination of both	1
6	1995	Approved	Combination of both	1
5	1995	Approved	Anthropogenic	1
4	1995	Approved	Combination of both	1
3	1992	Approved	Combination of both	1
3	1992	Approved	Combination of both	1
3	1992	Approved	Combination of both	1
3	1993	Approved	Combination of both	1
3	1993	Approved	Combination of both	1
3	1993	Approved	Combination of both	1
3	1994	Approved	Combination of both	1
3	1994	Approved	Combination of both	1
3	1994	Approved	Combination of both	1
2	1994	Approved	Anthropogenic	1
1	1989	Approved	Environmental	1
1	1992	Approved	Environmental	1
