Year	Allocation	Region
1989		Alaska
1989		Greater Atlantic
1989		Pacific Islands
1989		Southeast
1989		West Coast
1990		Alaska
1990		Greater Atlantic
1990		Pacific Islands
1990		Southeast
1990		West Coast
1991		Alaska
1991		Greater Atlantic
1991		Pacific Islands
1991		Southeast
1991		West Coast
1992		Alaska
1992		Greater Atlantic
1992		Pacific Islands
1992		Southeast
1992		West Coast
1993		Alaska
1993		Greater Atlantic
1993		Pacific Islands
1993		Southeast
1993		West Coast
1994		Alaska
1994	51840485	Greater Atlantic
1994		Pacific Islands
1994		Southeast
1994	27129854	West Coast
1995		Alaska
1995	42009842	Greater Atlantic
1995		Pacific Islands
1995	42009842	Southeast
1995	21845118	West Coast
1996		Alaska
1996		Greater Atlantic
1996		Pacific Islands
1996		Southeast
1996		West Coast
1997	11169121	Alaska
1997		Greater Atlantic
1997		Pacific Islands
1997		Southeast
1997		West Coast
1998	78555828	Alaska
1998		Greater Atlantic
1998		Pacific Islands
1998	3142233	Southeast
1998	17282282	West Coast
1999		Alaska
1999		Greater Atlantic
1999		Pacific Islands
1999	16447685	Southeast
1999		West Coast
2000	48333275	Alaska
2000	20671770	Greater Atlantic
2000		Pacific Islands
2000		Southeast
2000	7435888	West Coast
2001		Alaska
2001		Greater Atlantic
2001		Pacific Islands
2001		Southeast
2001		West Coast
2002		Alaska
2002		Greater Atlantic
2002		Pacific Islands
2002		Southeast
2002		West Coast
2003		Alaska
2003		Greater Atlantic
2003		Pacific Islands
2003	6959021	Southeast
2003		West Coast
2004		Alaska
2004		Greater Atlantic
2004		Pacific Islands
2004		Southeast
2004		West Coast
2005		Alaska
2005	5245100	Greater Atlantic
2005		Pacific Islands
2005	279301566	Southeast
2005		West Coast
2006		Alaska
2006		Greater Atlantic
2006		Pacific Islands
2006		Southeast
2006	76725976	West Coast
2007		Alaska
2007		Greater Atlantic
2007		Pacific Islands
2007		Southeast
2007		West Coast
2008		Alaska
2008	41630724	Greater Atlantic
2008		Pacific Islands
2008	55904116	Southeast
2008	202206379	West Coast
2009		Alaska
2009		Greater Atlantic
2009		Pacific Islands
2009		Southeast
2009		West Coast
2010	5872161	Alaska
2010		Greater Atlantic
2010		Pacific Islands
2010	30535238	Southeast
2010		West Coast
2011		Alaska
2011		Greater Atlantic
2011		Pacific Islands
2011		Southeast
2011	2276990	West Coast
2012	23197816	Alaska
2012	36639017	Greater Atlantic
2012	1115412	Pacific Islands
2012	12204650	Southeast
2012		West Coast
2013		Alaska
2013		Greater Atlantic
2013		Pacific Islands
2013	6943829	Southeast
2013		West Coast
2014		Alaska
2014		Greater Atlantic
2014		Pacific Islands
2014		Southeast
2014	2089964	West Coast
2015		Alaska
2015		Greater Atlantic
2015		Pacific Islands
2015	1147469	Southeast
2015		West Coast
2016		Alaska
2016		Greater Atlantic
2016		Pacific Islands
2016		Southeast
2016		West Coast
2017	58884163	Alaska
2017		Greater Atlantic
2017		Pacific Islands
2017		Southeast
2017	65773228	West Coast
2018		Alaska
2018		Greater Atlantic
2018		Pacific Islands
2018	139396968	Southeast
2018	17343614	West Coast
2019		Alaska
2019		Greater Atlantic
2019		Pacific Islands
2019		Southeast
2019		West Coast
