Year	StateYears	Region
1989		Alaska
1989		Greater Atlantic
1989		Pacific Islands
1989	1	Southeast
1989		West Coast
1990		Alaska
1990		Greater Atlantic
1990		Pacific Islands
1990		Southeast
1990		West Coast
1991		Alaska
1991		Greater Atlantic
1991		Pacific Islands
1991		Southeast
1991		West Coast
1992		Alaska
1992		Greater Atlantic
1992		Pacific Islands
1992	1	Southeast
1992	3	West Coast
1993		Alaska
1993		Greater Atlantic
1993		Pacific Islands
1993		Southeast
1993	3	West Coast
1994		Alaska
1994	1	Greater Atlantic
1994		Pacific Islands
1994		Southeast
1994	3	West Coast
1995		Alaska
1995	1	Greater Atlantic
1995		Pacific Islands
1995	1	Southeast
1995	3	West Coast
1996		Alaska
1996		Greater Atlantic
1996		Pacific Islands
1996		Southeast
1996		West Coast
1997	2	Alaska
1997		Greater Atlantic
1997		Pacific Islands
1997	2	Southeast
1997		West Coast
1998	2	Alaska
1998		Greater Atlantic
1998		Pacific Islands
1998	1	Southeast
1998	3	West Coast
1999	1	Alaska
1999	2	Greater Atlantic
1999		Pacific Islands
1999	1	Southeast
1999	4	West Coast
2000	2	Alaska
2000		Greater Atlantic
2000		Pacific Islands
2000		Southeast
2000	1	West Coast
2001	1	Alaska
2001		Greater Atlantic
2001		Pacific Islands
2001		Southeast
2001	1	West Coast
2002	1	Alaska
2002		Greater Atlantic
2002		Pacific Islands
2002		Southeast
2002	1	West Coast
2003	1	Alaska
2003		Greater Atlantic
2003		Pacific Islands
2003	1	Southeast
2003	1	West Coast
2004	1	Alaska
2004		Greater Atlantic
2004		Pacific Islands
2004		Southeast
2004	1	West Coast
2005	1	Alaska
2005	2	Greater Atlantic
2005		Pacific Islands
2005	4	Southeast
2005	2	West Coast
2006	1	Alaska
2006		Greater Atlantic
2006		Pacific Islands
2006		Southeast
2006	2	West Coast
2007	1	Alaska
2007		Greater Atlantic
2007		Pacific Islands
2007		Southeast
2007	2	West Coast
2008	1	Alaska
2008	5	Greater Atlantic
2008		Pacific Islands
2008	1	Southeast
2008	4	West Coast
2009	1	Alaska
2009	1	Greater Atlantic
2009	1	Pacific Islands
2009		Southeast
2009	3	West Coast
2010		Alaska
2010		Greater Atlantic
2010		Pacific Islands
2010	4	Southeast
2010	2	West Coast
2011	1	Alaska
2011	6	Greater Atlantic
2011		Pacific Islands
2011	1	Southeast
2011		West Coast
2012	1	Alaska
2012	8	Greater Atlantic
2012		Pacific Islands
2012	1	Southeast
2012		West Coast
2013		Alaska
2013	6	Greater Atlantic
2013		Pacific Islands
2013	1	Southeast
2013	1	West Coast
2014		Alaska
2014		Greater Atlantic
2014		Pacific Islands
2014		Southeast
2014	1	West Coast
2015		Alaska
2015		Greater Atlantic
2015		Pacific Islands
2015		Southeast
2015	6	West Coast
2016	1	Alaska
2016		Greater Atlantic
2016		Pacific Islands
2016		Southeast
2016	9	West Coast
2017		Alaska
2017		Greater Atlantic
2017		Pacific Islands
2017	4	Southeast
2017	4	West Coast
2018	2	Alaska
2018		Greater Atlantic
2018		Pacific Islands
2018	4	Southeast
2018	2	West Coast
2019		Alaska
2019		Greater Atlantic
2019		Pacific Islands
2019	3	Southeast
2019	1	West Coast
