disaster_num,disaster_year,year,state,AFS_name,pounds,dollars,5_yr_avg_pounds,5_yr_avg_value,prct_dif_pounds,prct_dif_value,prct_decr_value,dollar_diff_nominal,dollar_diff_real,management,appropration_amt,approp_real_ratio
90,2017-2019,2017,CALIFORNIA,"SARDINE, PACIFIC",952837,61453,17646925,1653089,0.053994506,0.037174647,-0.962825353,1591636,1687134.16,federal,,
89,2019,2019,"LA, MS, AL, FL","Oyster, crab, shrimp, finfish",,,,,,,,,,federal,,
87,2016-2017,2017,CALIFORNIA,RED SEA URCHIN,4181723.216,6372771,11718922.16,8695693,0.356835139,0.732865224,-0.267134776,2322922,2462297.32,state,,
87,2016-2017,2016,CALIFORNIA,RED SEA URCHIN,5883248.932,7266407,,,0.502029867,0.835632882,-0.164367118,1429286,1557921.74,state,,
86,2018,2918,CALIFORNIA,"SALMON, CHINOOK",,,,,,,,,,tribal,,
85,2018,2018,ALASKA (TRIBAL),"SALMON, SOCKEYE",593,859,8672067.6,12294953.4,0,0,-1,12294094.4,12785858.18,tribal,,
84,2018,2018,NORTH CAROLINA,ALL FISH,45800000,77900000,60500000,94825000,0.76,0.82,-0.18,16925000,17602000,federal,,
83,2018,2018,FLORIDA,ALL FISH,80728743,227285094,88504348.8,240244750.4,0.91,0.95,-0.05,12959656.4,13478042.66,federal,,
82,2018,2018,"GA, SC",SHRIMP ,11613727,28631896,11088788,29009604.6,1.05,0.99,-0.01,377708.6,392816.94,federal,,
81,2018,2018,ALASKA,PACIFIC COD,1931204,791794,7097796.4,2008671.6,0.27,0.39,-0.61,1216877.6,1265552.7,federal,,
80,2016,2016,WASHINGTON (TRIBAL),"SALMON, COHO & CHINOOK",-,-,-,-,-,-,-,1562032,1702614.88,tribal,1654000,0.971446931
79,2017,2017,TEXAS,ALL FISH,90671904,230643922,83051949.6,222561297.2,1.09,1.04,0.04,-8082624.8,-8567582.29,federal,13945263,-1.627677742
78,2016,2016,WASHINGTON (TRIBAL),COHO SALMON,7800,,163606.6,201858,0.05,-,-,413290,450486.1,tribal,970000,2.153229589
77,2017,2017,"FL, PR, USVI",ALL FISH,,,,,,,,106000000,112360000,federal,66738161,0.593967257
75,2015-2016,2016,CALIFORNIA,"SARDINE, PACIFIC",954160,95657,43771143,3351232.8,0.021798837,0.028543824,-0.971456176,3255575.8,3548577.622,federal,1640000,0.462157003
75,2015-2016,2015,CALIFORNIA,"SARDINE, PACIFIC",3750940,343148,,,0.085694358,0.102394558,-0.897605442,3008084.8,3308893.28,federal,1640000,0.495633996
74,2016-2017,2016,"OR, CA","SALMON, CHINOOK",,9600000,,,,0.48241206,-0.51758794,10300000,11227000,state_tribal,8886000,0.791484813
74,2016-2017,2017,"OR, CA","SALMON, CHINOOK",,7200000,,19900000,,0.361809045,-0.638190955,12700000,13462000,state_tribal,8886000,0.660080226
73,2015,2015,WASHINGTON (TRIBAL),"SALMON, COHO & Pink",,249312,,1828160,,0.136373184,-0.863626816,1578848,1736732.8,tribal,3856000,2.220260941
72,2016,2016,ALASKA,"SALMON, PINK",130239993,40195716,434899018.6,152109590.6,0.3,0.26,-0.74,111913874.6,121986123.3,federal,56361332,0.462030684
71,2016,2016,WASHINGTON,"SALMON, TROLL",478000,1606000,1501600,2608200,0.32,0.62,-0.38,1002200,1092398,federal,834401,0.763825089
70,2016,2016,"CALIFORNIA, TRIBAL","SALMON, CHINOOK",,,,,,,,,,tribal,3864904,
69,2015,2015,WASHINGTON,"CRAB, DUNGENESS",65165,,432345,,,,,3000000,3300000,tribal,1481199,0.448848182
68,2015,2015,WASHINGTON,"SALMON, COHO, CHINOOK, CHUM",,43611,,719739,,0.060592798,-0.939407202,676128,743740.8,tribal,,
67,2015-2016,2016,CALIFORNIA,"CRAB, DUNGENESS AND ROCK",26777120,83247255,24257689,67852528.2,1.10386113,1.226885088,0.226885088,-15394726.8,-16780252.21,state,25797268,-1.537358776
